,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,port hardy,98,CD,1650845308,94,-7.0349,29.7638,70.79,5.06
85,daru,62,PG,1650845321,81,-9.0763,143.2092,81.41,4.23
86,kruisfontein,99,ZA,1650845321,72,-34.0033,24.7314,53.89,4.16
87,jedrzejow,92,PL,1650845322,100,50.6394,20.3045,46.36,3.56
88,port hedland,100,CD,1650845322,91,-7.0349,29.7638,71.02,5.12
89,arman,61,RU,1650845266,63,59.7,150.1667,37.02,9.31
90,east london,27,IS,1650845322,94,65.0,-15.0,39.43,2.86
91,adrar,0,MR,1650845306,32,20.5022,-10.0711,73.78,11.23
92,vanavara,79,RU,1650845323,77,60.34,102.2797,27.34,4.0
93,geraldton,77,AU,1650845280,45,-28.7667,114.6,66.61,17.27
94,saldanha,0,ZA,1650845234,80,-33.0117,17.9442,57.72,15.99
95,inta,81,RU,1650845323,97,66.0317,60.1659,19.49,6.29
96,hobart,75,AU,1650845324,88,-42.8794,147.3294,57.25,6.91
97,vila velha,95,PT,1650845324,91,42.0304,-8.1588,41.88,3.2
98,chokurdakh,67,RU,1650845324,92,70.6333,147.9167,6.66,3.27
99,bengkulu,100,ID,1650845252,89,-3.8004,102.2655,75.58,4.59
100,camajuani,75,CU,1650845325,78,22.4833,-79.75,77.14,14.97
101,san policarpo,22,ML,1650845325,11,13.3034,-4.8956,89.73,12.28
102,kushiro,100,JP,1650845325,52,42.975,144.3747,53.33,4.54
103,baykit,100,RU,1650845326,93,61.67,96.37,30.58,4.63
104,tema,97,GH,1650845326,73,5.667,-0.0166,82.69,6.69
105,lhokseumawe,99,ID,1650845326,82,5.1801,97.1507,79.36,2.62
106,boa vista,100,CM,1650845327,91,4.4296,8.9742,76.01,1.74
107,oktyabrskoye,18,RU,1650845327,93,43.0645,44.7417,44.74,6.71
108,tucupita,85,VE,1650845328,71,9.0622,-62.051,80.33,6.4
109,tezu,68,IN,1650845328,72,27.9167,96.1667,68.79,3.4
110,muros,97,ES,1650845328,93,42.7762,-9.0603,51.84,6.22
111,sidi ali,93,CF,1650845329,84,5.0829,19.8781,74.46,1.92
112,cidreira,1,BR,1650845329,86,-30.1811,-50.2056,68.94,20.38
113,praia da vitoria,5,CV,1650845329,74,14.9215,-23.5087,72.88,10.71
114,shache,39,CN,1650845330,25,38.4167,77.2406,67.01,16.46
115,leningradskiy,87,RU,1650845330,87,69.3833,178.4167,21.47,1.83
116,pontianak,75,ID,1650845330,94,-0.0333,109.3333,76.98,0.0
117,tuatapere,76,NZ,1650845331,71,-46.1333,167.6833,58.42,12.64
118,butaritari,97,KI,1650845228,77,3.0707,172.7902,81.3,9.98
119,hithadhoo,70,MV,1650845331,72,-0.6,73.0833,84.24,8.88
120,lormont,40,FR,1650845331,93,44.875,-0.5178,50.09,4.61
121,avarua,20,CK,1650845332,74,-21.2078,-159.775,84.25,5.75
122,sechura,59,PE,1650845332,70,-5.5569,-80.8222,71.91,18.61
123,christchurch,66,NZ,1650845332,67,-43.5333,172.6333,67.41,5.75
124,aja,0,EG,1650845333,84,30.9415,31.2915,57.81,4.63
125,taoudenni,0,ML,1650845333,24,22.6783,-3.9836,79.32,12.82
126,terney,55,RU,1650845333,39,45.0503,136.6092,51.73,3.8
127,severnyy,75,RU,1650845333,100,50.677,36.5532,48.24,4.47
128,sabanagrande,20,CO,1650845334,78,10.7912,-74.7606,82.49,13.8
129,minot,100,US,1650845183,69,48.2325,-101.2963,35.82,25.32
130,itarema,95,BR,1650845334,90,-2.9248,-39.9167,76.23,6.67
131,mar del plata,0,ES,1650845335,89,43.4002,-4.0094,58.01,3.0
132,lavrentiya,38,RU,1650845335,77,65.5833,-171.0,27.28,4.38
133,port-gentil,20,GA,1650845335,94,-0.7193,8.7815,76.96,2.3
134,birao,91,CF,1650845335,52,10.2849,22.7882,81.64,4.52
135,labuhan,81,ID,1650845336,85,-6.8844,112.2051,79.7,6.76
136,muncar,60,ID,1650845336,85,-8.4333,114.3333,79.66,1.68
137,severo-kurilsk,66,RU,1650845337,88,50.6789,156.125,34.05,1.68
138,honningsvag,100,NO,1650845337,75,70.9821,25.9704,33.55,6.91
139,basco,10,PH,1650845337,84,20.4487,121.9702,81.68,18.21
140,bambui,43,BR,1650845338,66,-20.0064,-45.9769,68.56,3.27
141,airai,65,TL,1650845338,47,-8.9266,125.4092,69.3,2.1
142,oga,86,IT,1650845338,95,46.4631,10.347,36.14,2.21
143,puerto montt,0,ES,1650845339,90,36.5939,-6.233,57.34,3.44
144,amuntai,89,ID,1650845262,90,-2.4177,115.2494,78.4,0.92
